trial,score,val_mean,val_det_mean,val_pfa_mean,test_mean,test_det_mean,test_pfa_mean,duration_sec,log_dir,lr,memory_strength
43,0.08947190200768573,0.1408341700832049,0.5,1.0,nan,nan,nan,224.49277687072754,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_043_lr-1em04_memory_strength-5-2026-04-01_19-23-40-7936-trial043/0,0.0001,5
44,0.07584351857181314,0.11597537000974019,0.5,1.0,nan,nan,nan,219.55707550048828,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_044_lr-1em04_memory_strength-10-2026-04-01_19-23-40-7936-trial044/0,0.0001,10
45,0.07724538887038902,0.12699277698993683,0.5,1.0,nan,nan,nan,218.47651553153992,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_045_lr-1em04_memory_strength-50-2026-04-01_19-23-40-7936-trial045/0,0.0001,50
46,0.09026966564443233,0.15501836935679117,0.5,1.0,nan,nan,nan,218.28424668312073,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_046_lr-1em04_memory_strength-100-2026-04-01_19-23-40-7936-trial046/0,0.0001,100
47,0.05438915599807914,0.10977017755309741,0.5,1.0,nan,nan,nan,216.92213988304138,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_047_lr-1em04_memory_strength-500-2026-04-01_19-23-40-7936-trial047/0,0.0001,500
48,0.07105864203300598,0.12846301247676215,0.48453132311503094,0.999605397383372,nan,nan,nan,217.9857211112976,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_048_lr-3em05_memory_strength-1em01-2026-04-01_19-23-40-7936-trial048/0,3e-05,0.1
49,0.07045823128680913,0.12385277822613716,0.48502127329508465,0.999605397383372,nan,nan,nan,216.47106218338013,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_049_lr-3em05_memory_strength-5em01-2026-04-01_19-23-40-7936-trial049/0,3e-05,0.5
50,0.0765074455693399,0.13010137155652046,0.48723529775937396,0.999605397383372,nan,nan,nan,218.36770009994507,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_050_lr-3em05_memory_strength-1-2026-04-01_19-23-40-7936-trial050/0,3e-05,1
51,0.08874503021647069,0.11810651049017906,0.496142715215683,0.999605397383372,nan,nan,nan,221.042466878891,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_051_lr-3em05_memory_strength-5-2026-04-01_19-23-40-7936-trial051/0,3e-05,5
52,0.08221259321327014,0.12284602349003156,0.4984862705071767,1.0,nan,nan,nan,218.67427778244019,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_052_lr-3em05_memory_strength-10-2026-04-01_19-23-40-7936-trial052/0,3e-05,10
53,0.07045964168521429,0.10657794401049614,0.5,1.0,nan,nan,nan,216.81681513786316,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_053_lr-3em05_memory_strength-50-2026-04-01_19-23-40-7936-trial053/0,3e-05,50
54,0.07301670899721194,0.1167260284225146,0.5,1.0,nan,nan,nan,220.19444370269775,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_054_lr-3em05_memory_strength-100-2026-04-01_19-23-40-7936-trial054/0,3e-05,100
55,0.03410200164252594,0.09994488085309665,0.5,1.0,nan,nan,nan,218.6482229232788,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_055_lr-3em05_memory_strength-500-2026-04-01_19-23-40-7936-trial055/0,3e-05,500
56,0.057412320441560916,0.1610061675310135,0.49341702461242676,0.9998129407564799,nan,nan,nan,218.16890907287598,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_056_lr-1em05_memory_strength-1em01-2026-04-01_19-23-40-7936-trial056/0,1e-05,0.1
57,0.05811279673419951,0.15952123701572418,0.4920682907104492,0.999605397383372,nan,nan,nan,217.25099158287048,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_057_lr-1em05_memory_strength-5em01-2026-04-01_19-23-40-7936-trial057/0,1e-05,0.5
58,0.06385979482683728,0.15502144147952399,0.48993344108263653,0.999605397383372,nan,nan,nan,219.26631426811218,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_058_lr-1em05_memory_strength-1-2026-04-01_19-23-40-7936-trial058/0,1e-05,1
59,0.07261144000020801,0.11969060078263283,0.48890405893325806,0.999605397383372,nan,nan,nan,217.41324472427368,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_059_lr-1em05_memory_strength-5-2026-04-01_19-23-40-7936-trial059/0,1e-05,5
60,0.0795394519391764,0.12205819971859455,0.4883129795392354,0.999605397383372,nan,nan,nan,217.43803191184998,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_060_lr-1em05_memory_strength-10-2026-04-01_19-23-40-7936-trial060/0,1e-05,10
61,0.08804986583492981,0.13911206647753716,0.4967239399751027,1.0,nan,nan,nan,216.63609766960144,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_061_lr-1em05_memory_strength-50-2026-04-01_19-23-40-7936-trial061/0,1e-05,50
62,0.07890432429556327,0.12602810064951578,0.4984375735123952,1.0,nan,nan,nan,217.2899558544159,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_062_lr-1em05_memory_strength-100-2026-04-01_19-23-40-7936-trial062/0,1e-05,100
63,0.053485079071301046,0.10777480776111285,0.5,1.0,nan,nan,nan,217.62646627426147,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_063_lr-1em05_memory_strength-500-2026-04-01_19-23-40-7936-trial063/0,1e-05,500
